Date : 2025-06-10 00:16:41
Directory : e:\dowload 2\MyGameMPFE\mygamefe
Total : 515 files,  54170 codes, 943 comments, 4296 blanks, all 59409 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\pages\client-cart                                                                                    |          2 |        653 |          0 |         65 |        718 |
| src\pages\client-category                                                                                |          4 |        398 |          6 |         55 |        459 |
| src\pages\client-chat                                                                                    |          2 |        272 |          0 |         32 |        304 |
| src\pages\client-forgot-password                                                                         |          3 |        164 |          0 |         27 |        191 |
| src\pages\client-home                                                                                    |          6 |        296 |         73 |         40 |        409 |
| src\pages\client-notification                                                                            |          2 |        271 |          0 |         33 |        304 |
| src\pages\client-order                                                                                   |          2 |        232 |          0 |         29 |        261 |
| src\pages\client-order-detail                                                                            |          2 |        569 |          8 |         54 |        631 |
| src\pages\client-payment-cancel                                                                          |          2 |         27 |          3 |          8 |         38 |
| src\pages\client-payment-success                                                                         |          2 |         27 |          3 |          8 |         38 |
| src\pages\client-preorder                                                                                |          2 |        273 |          0 |         32 |        305 |
| src\pages\client-product                                                                                 |          7 |        637 |          5 |         69 |        711 |
| src\pages\client-review                                                                                  |          2 |        289 |          1 |         34 |        324 |
| src\pages\client-reward                                                                                  |          2 |        148 |          0 |         22 |        170 |
| src\pages\client-search                                                                                  |          2 |        153 |          0 |         19 |        172 |
| src\pages\client-setting                                                                                 |          2 |        108 |          0 |         11 |        119 |
| src\pages\client-setting-email                                                                           |          2 |         90 |          0 |         14 |        104 |
| src\pages\client-setting-password                                                                        |          2 |        110 |          0 |         13 |        123 |
| src\pages\client-setting-personal                                                                        |          2 |        212 |          1 |         18 |        231 |
| src\pages\client-setting-phone                                                                           |          2 |         90 |          1 |         14 |        105 |
| src\pages\client-signin                                                                                  |          2 |        184 |          8 |         29 |        221 |
| src\pages\client-signup                                                                                  |          2 |        487 |          1 |         50 |        538 |
| src\pages\client-user                                                                                    |          2 |        149 |          0 |         18 |        167 |
| src\pages\client-wishlist                                                                                |          2 |        199 |          0 |         26 |        225 |
| src\pages\count                                                                                          |          7 |        663 |          0 |         74 |        737 |
| src\pages\customer                                                                                       |          7 |      1,082 |          0 |         62 |      1,144 |
| src\pages\customer-group                                                                                 |          7 |        452 |          0 |         56 |        508 |
| src\pages\customer-resource                                                                              |          7 |        452 |          0 |         56 |        508 |
| src\pages\customer-status                                                                                |          7 |        452 |          0 |         56 |        508 |
| src\pages\department                                                                                     |          7 |        364 |          0 |         57 |        421 |
| src\pages\destination                                                                                    |          7 |        586 |          0 |         57 |        643 |
| src\pages\district                                                                                       |          7 |        415 |          0 |         53 |        468 |
| src\pages\docket                                                                                         |          7 |        926 |          1 |         85 |      1,012 |
| src\pages\docket-reason                                                                                  |          7 |        353 |          0 |         56 |        409 |
| src\pages\employee                                                                                       |          7 |      1,322 |          1 |         74 |      1,397 |
| src\pages\guarantee                                                                                      |          7 |        378 |          0 |         56 |        434 |
| src\pages\inventory                                                                                      |          3 |        173 |          4 |         19 |        196 |
| src\pages\job-level                                                                                      |          7 |        353 |          0 |         56 |        409 |
| src\pages\job-title                                                                                      |          7 |        353 |          0 |         56 |        409 |
| src\pages\job-type                                                                                       |          7 |        353 |          0 |         56 |        409 |
| src\pages\office                                                                                         |          7 |        566 |          0 |         58 |        624 |
| src\pages\order                                                                                          |          7 |      1,363 |          2 |         98 |      1,463 |
| src\pages\order-cancellation-reason                                                                      |          7 |        380 |          0 |         56 |        436 |
| src\pages\order-resource                                                                                 |          7 |        525 |          0 |         57 |        582 |
| src\pages\payment-method                                                                                 |          3 |        163 |          0 |         28 |        191 |
| src\pages\product                                                                                        |          7 |      1,596 |         29 |         79 |      1,704 |
| src\pages\promotion                                                                                      |          7 |        672 |          0 |         71 |        743 |
| src\pages\property                                                                                       |          7 |        411 |          0 |         56 |        467 |
| src\pages\province                                                                                       |          7 |        321 |          0 |         52 |        373 |
| src\pages\purchase-order                                                                                 |          7 |        829 |          0 |         78 |        907 |
| src\pages\review                                                                                         |          3 |        366 |          0 |         36 |        402 |
| src\pages\reward-strategy                                                                                |          3 |        224 |          0 |         34 |        258 |
| src\pages\role                                                                                           |          7 |        386 |          0 |         56 |        442 |
| src\pages\specification                                                                                  |          7 |        411 |          0 |         56 |        467 |
| src\pages\supplier                                                                                       |          7 |        877 |          0 |         57 |        934 |
| src\pages\tag                                                                                            |          7 |        386 |          0 |         56 |        442 |
| src\pages\transfer                                                                                       |          7 |        712 |          0 |         73 |        785 |
| src\pages\unit                                                                                           |          7 |        353 |          0 |         56 |        409 |
| src\pages\user                                                                                           |          7 |        872 |          1 |         63 |        936 |
| src\pages\voucher                                                                                        |          2 |         21 |          0 |          6 |         27 |
| src\pages\ward                                                                                           |          1 |         12 |          0 |          3 |         15 |
| src\pages\warehouse                                                                                      |          7 |        594 |          0 |         57 |        651 |
| src\pages\waybill                                                                                        |          7 |        733 |          0 |         64 |        797 |
| src\stores                                                                                               |          8 |        378 |          6 |         55 |        439 |
| src\types                                                                                                |          9 |        342 |         15 |         74 |        431 |
| src\utils                                                                                                |          7 |        625 |        447 |        100 |      1,172 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\dowload 2\MyGameMPFE\mygamefe\README.md                                                               | Markdown           |         26 |          0 |         21 |         47 |
| e:\dowload 2\MyGameMPFE\mygamefe\package-lock.json                                                       | JSON               |     16,228 |          0 |          1 |     16,229 |
| e:\dowload 2\MyGameMPFE\mygamefe\package.json                                                            | JSON               |         77 |          0 |          0 |         77 |
| e:\dowload 2\MyGameMPFE\mygamefe\public\index.html                                                       | HTML               |         20 |         23 |          1 |         44 |
| e:\dowload 2\MyGameMPFE\mygamefe\public\manifest.json                                                    | JSON               |         25 |          0 |          1 |         26 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\App.css                                                             | PostCSS            |          0 |         38 |          1 |         39 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\App.test.tsx                                                        | TypeScript JSX     |          8 |          0 |          2 |         10 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\App.tsx                                                             | TypeScript JSX     |        331 |         45 |          5 |        381 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\AddVariantsModal\AddVariantsModal.tsx                    | TypeScript JSX     |         56 |          0 |          6 |         62 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\AdminError\AdminError.tsx                                | TypeScript JSX     |         19 |          0 |          3 |         22 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientCarousel\ClientCarousel.tsx                        | TypeScript JSX     |        109 |          1 |          9 |        119 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientError\ClientError.tsx                              | TypeScript JSX     |         29 |          0 |          3 |         32 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientFooter\ClientFooter.tsx                            | TypeScript JSX     |        180 |          0 |          8 |        188 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientHeader\CategoryMenu.tsx                            | TypeScript JSX     |        124 |          1 |         10 |        135 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientHeader\ClientHeader.tsx                            | TypeScript JSX     |        381 |         27 |         33 |        441 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientProductCard\ClientProductCard.tsx                  | TypeScript JSX     |        204 |          0 |         12 |        216 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ClientUserNavbar\ClientUserNavbar.tsx                    | TypeScript JSX     |         35 |          1 |          5 |         41 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\CreateUpdateTitle\CreateUpdateTitle.tsx                  | TypeScript JSX     |         27 |          0 |          4 |         31 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\DefaultHeader\DefaultHeader.tsx                          | TypeScript JSX     |        140 |          8 |         18 |        166 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\DefaultNavbar\DefaultNavbar.styles.ts                    | TypeScript         |         66 |          0 |         13 |         79 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\DefaultNavbar\DefaultNavbar.tsx                          | TypeScript JSX     |        218 |         98 |          9 |        325 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\DefaultPropertyPanel\DefaultPropertyPanel.tsx            | TypeScript JSX     |         41 |         13 |          4 |         58 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ElectroLogo\ElectroLogo.tsx                              | TypeScript JSX     |          9 |          2 |          5 |         16 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\EntityDetailTable\EntityDetailTable.tsx                  | TypeScript JSX     |         35 |          0 |          7 |         42 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\EntityFinder\EntityFinder.tsx                            | TypeScript JSX     |        148 |          0 |         12 |        160 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterCriteriaRow\FilterCriteriaRow.tsx                  | TypeScript JSX     |        128 |          0 |          9 |        137 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterCriteriaRow\FilterCriteriaRow.vm.ts                | TypeScript         |         62 |          0 |         15 |         77 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelHeaderLeft\FilterPanelHeaderLeft.tsx          | TypeScript JSX     |         23 |          0 |          5 |         28 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelHeaderRight\FilterPanelHeaderRight.tsx        | TypeScript JSX     |         34 |          0 |          5 |         39 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelHeaderRight\FilterPanelHeaderRight.vm.ts      | TypeScript         |         53 |          0 |         10 |         63 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelHeader\FilterPanelHeader.tsx                  | TypeScript JSX     |         15 |          0 |          5 |         20 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelMainLeft\FilterPanelMainLeft.tsx              | TypeScript JSX     |         38 |          0 |          6 |         44 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelMainLeft\FilterPanelMainLeft.vm.ts            | TypeScript         |         20 |          0 |          6 |         26 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelMainRight\FilterPanelMainRight.tsx            | TypeScript JSX     |         38 |          0 |          6 |         44 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelMainRight\FilterPanelMainRight.vm.ts          | TypeScript         |         24 |          0 |          7 |         31 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanelMain\FilterPanelMain.tsx                      | TypeScript JSX     |         15 |          0 |          4 |         19 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanel\FilterPanel.styles.ts                        | TypeScript         |         12 |          0 |          3 |         15 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FilterPanel\FilterPanel.tsx                              | TypeScript JSX     |         38 |          0 |          8 |         46 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\FloatingCodeFrame\FloatingCodeFrame.tsx                  | TypeScript JSX     |         24 |          0 |          5 |         29 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\LoadingMiddleware\LoadingMiddleware.tsx                  | TypeScript JSX     |         46 |          5 |         11 |         62 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageHeaderButtons\ManageHeaderButtons.tsx              | TypeScript JSX     |         35 |          0 |          5 |         40 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageHeaderButtons\ManageHeaderButtons.vm.tsx           | TypeScript JSX     |         55 |          0 |          8 |         63 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageHeaderTitle\ManageHeaderTitle.tsx                  | TypeScript JSX     |         35 |          0 |          6 |         41 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageHeader\ManageHeader.tsx                            | TypeScript JSX     |         15 |          0 |          5 |         20 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageMain\ManageMain.tsx                                | TypeScript JSX     |         46 |          0 |          7 |         53 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManagePagination\ManagePagination.tsx                    | TypeScript JSX     |         60 |          0 |          7 |         67 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManagePagination\ManagePagination.vm.ts                  | TypeScript         |         29 |          0 |          6 |         35 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageTable\ManageTable.styles.ts                        | TypeScript         |         12 |          0 |          3 |         15 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageTable\ManageTable.tsx                              | TypeScript JSX     |        111 |          0 |          9 |        120 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ManageTable\ManageTable.vm.tsx                           | TypeScript JSX     |         88 |          0 |         12 |        100 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductImagesDropzone\ProductImagesDropzone.tsx          | TypeScript JSX     |        321 |          1 |         20 |        342 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductProperties\ProductProperties.tsx                  | TypeScript JSX     |         51 |          0 |          9 |         60 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductPropertyRow\ProductPropertyRow.tsx                | TypeScript JSX     |        117 |          0 |         14 |        131 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductSpecificationRow\ProductSpecificationRow.tsx      | TypeScript JSX     |        106 |          0 |         13 |        119 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductSpecifications\ProductSpecifications.tsx          | TypeScript JSX     |         51 |          0 |          9 |         60 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductVariantRow\ProductVariantRow.tsx                  | TypeScript JSX     |        102 |          0 |          9 |        111 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductVariantsForUpdate\ProductVariantsForUpdate.tsx    | TypeScript JSX     |        118 |          0 |         14 |        132 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProductVariants\ProductVariants.tsx                      | TypeScript JSX     |         80 |          0 |         10 |         90 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ProtectedRoute\ProtectedRoute.tsx                        | TypeScript JSX     |         34 |          0 |          5 |         39 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ReviewStarGroup\ReviewStarGroup.tsx                      | TypeScript JSX     |         19 |          0 |          4 |         23 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\ScrollToTop\ScrollToTop.tsx                              | TypeScript JSX     |         14 |          1 |          5 |         20 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\SearchPanel\SearchPanel.tsx                              | TypeScript JSX     |         47 |         24 |          5 |         76 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\SearchPanel\SearchPanel.vm.ts                            | TypeScript         |         62 |          0 |         12 |         74 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\SortCriteriaRow\SortCriteriaRow.tsx                      | TypeScript JSX     |         63 |          0 |          5 |         68 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\SortCriteriaRow\SortCriteriaRow.vm.ts                    | TypeScript         |         45 |          0 |         10 |         55 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\VariantFinder\VariantFinder.tsx                          | TypeScript JSX     |        125 |          0 |         11 |        136 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\VariantTablePopover\VariantTablePopover.tsx              | TypeScript JSX     |         87 |          0 |          8 |         95 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\VariantTable\VariantTable.tsx                            | TypeScript JSX     |        166 |          0 |          6 |        172 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\components\index.ts                                                 | TypeScript         |         92 |         10 |         20 |        122 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\constants\ApplicationConstants.ts                                   | TypeScript         |         17 |          0 |          4 |         21 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\constants\ManagerPath.ts                                            | TypeScript         |         48 |          0 |         13 |         61 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\constants\ResourceURL.ts                                            | TypeScript         |         90 |          3 |         18 |        111 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\constants\Titles.ts                                                 | TypeScript         |         33 |          0 |          5 |         38 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-create-api.ts                                             | TypeScript         |         13 |          0 |          3 |         16 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-create-preorder-api.tsx                                   | TypeScript JSX     |         24 |          0 |          3 |         27 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-create-wish-api.tsx                                       | TypeScript JSX     |         24 |          0 |          3 |         27 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-delete-by-id-api.ts                                       | TypeScript         |         17 |          0 |          4 |         21 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-delete-by-ids-api.ts                                      | TypeScript         |         17 |          0 |          4 |         21 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-get-all-api.ts                                            | TypeScript         |         41 |          0 |          6 |         47 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-get-by-id-api.ts                                          | TypeScript         |         22 |          0 |          3 |         25 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-init-filter-panel-state.ts                                | TypeScript         |         10 |          0 |          4 |         14 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-reset-manage-page-state.ts                                | TypeScript         |          9 |          0 |          4 |         13 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-save-cart-api.tsx                                         | TypeScript JSX     |         22 |          0 |          5 |         27 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-select-address.ts                                         | TypeScript         |         25 |          0 |          6 |         31 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-title.ts                                                  | TypeScript         |         11 |          0 |          5 |         16 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-update-api.ts                                             | TypeScript         |         18 |          0 |          4 |         22 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\hooks\use-upload-multiple-images-api.ts                             | TypeScript         |         15 |          0 |          3 |         18 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\index.css                                                           | PostCSS            |         53 |         13 |         11 |         77 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\index.tsx                                                           | TypeScript JSX     |         15 |          3 |          4 |         22 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\logo.svg                                                            | XML                |          1 |          0 |          0 |          1 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Address.ts                                                   | TypeScript         |         18 |          0 |          5 |         23 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Authentication.ts                                            | TypeScript         |          9 |          0 |          2 |         11 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\BaseResponse.ts                                              | TypeScript         |          6 |          0 |          2 |          8 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Brand.ts                                                     | TypeScript         |         13 |          0 |          3 |         16 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Category.ts                                                  | TypeScript         |         25 |          0 |          4 |         29 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Count.ts                                                     | TypeScript         |         17 |          0 |          3 |         20 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\CountVariant.ts                                              | TypeScript         |         30 |          0 |          6 |         36 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Customer.ts                                                  | TypeScript         |         17 |          0 |          3 |         20 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\CustomerGroup.ts                                             | TypeScript         |         15 |          0 |          3 |         18 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\CustomerResource.ts                                          | TypeScript         |         15 |          0 |          3 |         18 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\CustomerStatus.ts                                            | TypeScript         |         15 |          0 |          3 |         18 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Department.ts                                                | TypeScript         |          9 |          0 |          3 |         12 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Destination.ts                                               | TypeScript         |         16 |          0 |          3 |         19 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\District.ts                                                  | TypeScript         |         12 |          0 |          3 |         15 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Docket.ts                                                    | TypeScript         |         34 |          0 |          5 |         39 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketReason.ts                                              | TypeScript         |          9 |          0 |          3 |         12 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketVariant.ts                                             | TypeScript         |         28 |          0 |          6 |         34 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketVariantEliminatedResponse.ts                           | TypeScript         |         24 |          0 |          5 |         29 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\DocketVariantExtended.ts                                     | TypeScript         |         32 |          0 |          6 |         38 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Employee.ts                                                  | TypeScript         |         23 |          0 |          3 |         26 |
| e:\dowload 2\MyGameMPFE\mygamefe\src\models\Guarantee.ts                                                 | TypeScript         |         11 |          0 |          3 |         14 |
